Vecka,Söndag datum,Antal testade,Antal positiva,Kvot positiva,Totalt döda
23,2020-06-07,10685,1268,11.87%,2138
24,2020-06-14,10187,1302,12.78%,2186
25,2020-06-21,13731,1935,14.09%,2252
26,2020-06-28,15075,1826,12.11%,2298
27,2020-07-05,18461,1393,7.55%,2337
28,2020-07-12,16875,837,4.96%,2362
29,2020-07-19,14243,724,5.08%,2373
30,2020-07-26,11572,395,3.41%,2384
31,2020-08-02,10161,337,3.32%,2387
32,2020-08-09,10175,395,3.88%,2387
33,2020-08-16,11387,444,3.90%,2392
34,2020-08-23,12870,380,2.95%,2392
35,2020-08-30,15972,267,1.67%,2393
36,2020-09-06,23394,276,1.18%,2398
37,2020-09-13,25474,334,1.31%,2400
38,2020-09-20,27535,526,1.91%,2400
39,2020-09-27,24469,967,3.95%,2403
